Intents,queries,response1,response2
greeting,Hi,Hello! How can I assist you today?,Hi there! What can I do for you?
greeting,How are you?,Hello! How can I assist you today?,Hi there! What can I do for you?
greeting,Is anyone there?,Hello! How can I assist you today?,Hi there! What can I do for you?
greeting,Hello,Hello! How can I assist you today?,Hi there! What can I do for you?
greeting,Good day,Hello! How can I assist you today?,Hi there! What can I do for you?
greeting,What's up,Hello! How can I assist you today?,Hi there! What can I do for you?
greeting,how are ya,Hello! How can I assist you today?,Hi there! What can I do for you?
greeting,heyy,Hello! How can I assist you today?,Hi there! What can I do for you?
greeting,whatsup,Hello! How can I assist you today?,Hi there! What can I do for you?
greeting,hi,Hello! How can I assist you today?,Hi there! What can I do for you?
goodbye,cya,"Goodbye! Have a great day!""",Take care! See you later!
goodbye,see you,"Goodbye! Have a great day!""",Take care! See you later!
goodbye,bye bye,"Goodbye! Have a great day!""",Take care! See you later!
goodbye,See you later,"Goodbye! Have a great day!""",Take care! See you later!
goodbye,Goodbye,"Goodbye! Have a great day!""",Take care! See you later!
goodbye,I am Leaving,"Goodbye! Have a great day!""",Take care! See you later!
goodbye,Bye,"Goodbye! Have a great day!""",Take care! See you later!
goodbye,Have a Good day,"Goodbye! Have a great day!""",Take care! See you later!
goodbye,talk to you later,"Goodbye! Have a great day!""",Take care! See you later!
goodbye,ttyl,"Goodbye! Have a great day!""",Take care! See you later!
goodbye,i got to go,"Goodbye! Have a great day!""",Take care! See you later!
goodbye,gtg,"Goodbye! Have a great day!""",Take care! See you later!
"creator,invent",what is the name of your developers,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",what is the name of your creators,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",what is the name of the developers,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
"creator,invent",what is the name of the creators,"I was created by M Huzaifa Alam, a passionate developer.","This chatbot is a project by M Huzaifa Alam, designed to assist you."
